Model,Function,RMSE
T-NW,Spiral,9.984
T-NW,Logarithmic,7.223
T-NW,Power,7.361
S-NW,Spiral,7.387
S-NW,Logarithmic,8.978
S-NW,Power,7.565
X-NW,Spiral,9.257
X-NW,Logarithmic,9.339
X-NW,Power,7.199
T-Cox,Spiral,12.28
T-Cox,Logarithmic,6.824
T-Cox,Power,3.312
S-Cox,Spiral,7.221
S-Cox,Logarithmic,6.807
S-Cox,Power,7.412
X-Cox,Spiral,14.67
X-Cox,Logarithmic,9.419
X-Cox,Power,11.91
T-SF,Spiral,7.245
T-SF,Logarithmic,7.205
T-SF,Power,5.113
S-SF,Spiral,7.276
S-SF,Logarithmic,7.104
S-SF,Power,7.094
X-SF,Spiral,6.754
X-SF,Logarithmic,9.297
X-SF,Power,7.875
BENK,Spiral,6.215
BENK,Logarithmic,5.456
BENK,Power,2.518
