Model,Function,RMSE
T-NW,Spiral,9.984
S-NW,Spiral,7.387
X-NW,Spiral,9.257
T-Cox,Spiral,12.28
S-Cox,Spiral,7.221
X-Cox,Spiral,14.67
T-SF,Spiral,7.245
S-SF,Spiral,7.276
X-SF,Spiral,6.754
BENK,Spiral,6.215
Quantum-BENK,Spiral,3.2442
T-NW,Logarithmic,7.223
S-NW,Logarithmic,8.978
X-NW,Logarithmic,9.339
T-Cox,Logarithmic,6.824
S-Cox,Logarithmic,6.807
X-Cox,Logarithmic,9.419
T-SF,Logarithmic,7.205
S-SF,Logarithmic,7.104
X-SF,Logarithmic,9.297
BENK,Logarithmic,5.456
Quantum-BENK,Logarithmic,3.0069
T-NW,Power,7.361
S-NW,Power,7.565
X-NW,Power,7.199
T-Cox,Power,3.312
S-Cox,Power,7.412
X-Cox,Power,11.91
T-SF,Power,5.113
S-SF,Power,7.094
X-SF,Power,7.875
BENK,Power,2.518
Quantum-BENK,Power,2.1303
